Actor Type,Actor Type (group),Attack Context,Attack Context (group),Calculation2,Calculation2 - Split 2,City,Country,Country Code,Day Of Dateclean,Details,Incident Id,Lat,Location,Long,Means Of Attack,Means Of Attack (group),Region,Gender Female,Gender Male,Gender Unknown,Latitude,Longitude,Total Affected,Total Internationals,Total Kidnapped,Total Killed,Total Nationals,Total Wounded
Police or paramilitary,Police or paramilitary,Raid,Raid,38.283333 14.1),14.1),Shire,Ethiopia,ET,6/23/2021,"One UN national staff was harassed and assaulted by security forces in his home in Shire town, Tigray.
",3509,38.283333,POINT(38.283333 14.1),14.1,Bodily assault,Bodily assault,Tigray,0,1,0,14.1,38.283333,1,0,0,0,1,1
Police or paramilitary,Police or paramilitary,Raid,Raid,40.633333 -12.35),-12.35),Ibo,Mozambique,MZ,7/12/2020,"One male national UN staff member was assaulted by Security Forces personnel after they raided his home.
",3272,40.633333,POINT(40.633333 -12.35),-12.35,Bodily assault,Bodily assault,Cabo Delgado,0,1,0,-12.35,40.633333,1,0,0,0,1,1
Police or paramilitary,Police or paramilitary,Raid,Raid,21 7),7),,Central African Republic,CF,4/30/2020,"Three INGO male staff members were threatened, assaulted, and injured after the organisation office and guesthouse was raided by criminal military elements.&nbsp;
",3330,21,POINT(21 7),7,Bodily assault,Bodily assault,,0,3,0,7,21,3,0,0,0,3,3
Unaffiliated,Unknown,Raid,Raid,30.157471 10.147149),10.147149),"Pariang, Ajuong Thok",South Sudan,SS,6/28/2017,A number of aid workers required medical attention after their office compound was forcefully entered by local youth who physically assaulted both international and national staff. They were reportedly angered by the lack of employment opportunities available to the local community. Exactly how many staff members required medical attention and whether they were national or international staff is currently unknown.,2328,30.157471,POINT(30.157471 10.147149),10.147149,Bodily assault,Bodily assault,Unity,0,0,1,10.147149,30.157471,1,0,0,0,1,1
Unaffiliated,Unknown,Raid,Raid,30.090278 10.104167),10.104167),Jam Jang,South Sudan,SS,4/24/2021,"Four INGO staff were assaulted and injured after a group of 15-20 youths raided the compound in the Jam Jang humanitarian hub. 1 Staff was airlifted for treatment.
",3296,30.090278,POINT(30.090278 10.104167),10.104167,Bodily assault,Bodily assault,Unity,0,0,4,10.104167,30.090278,4,0,0,0,4,4
Unaffiliated,Unknown,Raid,Raid,30.532461 6.592888),6.592888),Kuarabiei,South Sudan,SS,2/2/2021,"Two NGO contracted staff members working at a drilling project site in Kuarabiei village, 6km from Yirol town, were attacked and injured by an unknown perpetrator. Both staff members suffered serious injuries to their heads and arms and were treated at the hospital. Initial reports indicate the perpetrator may have been under the influence of alcohol.
",3154,30.532461,POINT(30.532461 6.592888),6.592888,Bodily assault,Bodily assault,Lakes,0,2,0,6.592888,30.532461,2,0,0,0,2,2
Unknown,Unknown,Raid,Raid,67.709953 33.93911),33.93911),,Afghanistan,AF,9/1/2003,1 INGO national staff robbed and beaten by armed group at home.,258,67.709953,POINT(67.709953 33.93911),33.93911,Bodily assault,Bodily assault,,0,0,1,33.93911,67.709953,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,20.983333 4.45),4.45),Zangba,Central African Republic,CF,9/29/2018,One NGO staff member was seriously wounded when armed men attacked an NGO office in Zangba.,2933,20.983333,POINT(20.983333 4.45),4.45,Bodily assault,Bodily assault,Basse-Kotto,0,0,1,4.45,20.983333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,19.18333 7),7),Kaga-Bandoro,Central African Republic,CF,5/9/2018,"One national INGO staff member was injured when armed men in uniform broke into the staff members home, and assaulted then robbed the individual of cash and valuables.",2572,19.18333,POINT(19.18333 7),7,Bodily assault,Bodily assault,Nana-Grebizi,0,0,1,7,19.18333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,-59 5),5),,Guyana,GY,10/1/2005,1 INGO national staff assaulted during armed robbery on home by armed group.,404,-59,POINT(-59 5),5,Bodily assault,Bodily assault,,0,0,1,5,-59,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,-99.133333 19.433333),19.433333),Mexico City,Mexico,MX,4/12/2019,One national INGO staff member was assaulted by two men and robbed in a supermarket.,2955,-99.133333,POINT(-99.133333 19.433333),19.433333,Bodily assault,Bodily assault,Mexico City,0,0,1,19.433333,-99.133333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,32 8),8),Bor,Sudan,SD,5/1/2006,"One UN national staff wounded when about 22 civilians, some with firearms, invaded the agency's compound in Bor, southern Sudan. They dragged and beat the victim with sticks, and other staff members who tried rescuing him were threatened with a rifle.",444,32,POINT(32 8),8,Bodily assault,Bodily assault,Jonglei,0,0,1,8,32,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,25.08565623 11.329444),11.329444),,Sudan,SD,11/1/2007,"1 INGO international staff beaten in an armed attack on Kulbus compound, one vehicle and two thurayas stolen.",689,25.08565623,POINT(25.08565623 11.329444),11.329444,Bodily assault,Bodily assault,West Darfur,0,0,1,11.329444,25.08565623,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,32.813685 11.744936),11.744936),Renk,South Sudan,SS,5/10/2021,"One INGO staff member was injured during a violent compound raid by unknown perpetrators in Renk town.
",3311,32.813685,POINT(32.813685 11.744936),11.744936,Bodily assault,Bodily assault,Upper Nile,0,0,1,11.744936,32.813685,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,20.928701 14.525174),14.525174),Biltine,Chad,TD,11/25/2006,"1 INGO national staff wounded when rebels took the town of Biltine and forced the INGO staff member to hand over a car, after which victim was severely beaten. They returned a few days later and took another vehicle from the compound the INGO staff were sheltering in.",678,20.928701,POINT(20.928701 14.525174),14.525174,Bodily assault,Bodily assault,Wadi Fira,0,0,1,14.525174,20.928701,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,33.783333 -13.983333),-13.983333),Lilongwe,Malawi,MW,11/15/2019,Two INGO guards were assaulted and injured after unknown perpetrators attempted to enter the house but fled after a shot was fired.,2942,33.783333,POINT(33.783333 -13.983333),-13.983333,Bodily assault,Bodily assault,Central,0,0,2,-13.983333,33.783333,2,0,0,0,2,2
Unknown,Unknown,Raid,Raid,32.201529 10.440419),10.440419),Melut,South Sudan,SS,9/16/2020,"Three INGO staff members were assaulted and injured after their compound in Melut was raided. Reports indicate the host community was unhappy with some of the INGO's policies.&nbsp;
",3292,32.201529,POINT(32.201529 10.440419),10.440419,Bodily assault,Bodily assault,Upper Nile,0,0,3,10.440419,32.201529,3,0,0,0,3,3
Unknown,Unknown,Raid,Raid,91.8 22.366667),22.366667),Chittagong,Bangladesh,BD,11/28/2018,"One national INGO staff member on security duty, was injured during a robbery attempt on a project site in Chittagong, Bangladesh. Although the assault was minor, the staff member required medical attention for his injuries.",2655,91.8,POINT(91.8 22.366667),22.366667,Bodily assault,Bodily assault,Chittagong,0,1,0,22.366667,91.8,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,-63.183333 -19.4168),-19.4168),Gutierrez,Bolivia,BO,3/25/2019,"One INGO male guard was injured after being hit in the head with a shovel by 4 unknown perpetrators who raided the office in Gutierrez. The intruders stole motorcycles, cellphones and laptops.
",2982,-63.183333,POINT(-63.183333 -19.4168),-19.4168,Bodily assault,Bodily assault,Santa Cruz,0,1,0,-19.4168,-63.183333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,29.19471 -5.94749),-5.94749),Kalemie,DR Congo,CD,7/13/2020,"One UN agency consultant was injured after three unknown men with machetes raided his home in Kalemie and assaulted him. The assailants stole a TV, laptops, and cellphones. The consultant was treated at the hospital and is in stable condition.&nbsp;
",3042,29.19471,POINT(29.19471 -5.94749),-5.94749,Bodily assault,Bodily assault,Tanganyika,0,1,0,-5.94749,29.19471,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,29.196717 -5.946021),-5.946021),Kalemie,DR Congo,CD,7/20/2018,"One INGO national staff member was assaulted with a machete and wooden bats by perpetrators during a robbery of his residence. Personal belongings were taken and the primary motive for this incident was reported to be theft. The incident occurred in Kalemie, Tanganyika.",2597,29.196717,POINT(29.196717 -5.946021),-5.946021,Bodily assault,Bodily assault,Tanganyika,0,1,0,-5.946021,29.196717,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,20.577393 8.465411),8.465411),Ndele-Ngolongosso,Central African Republic,CF,6/7/2017,"On June 14th, one NGO national staff member was injured during a robbery in Bamingui-Bangoran Prefecture a short distance from Nd",2295,20.577393,POINT(20.577393 8.465411),8.465411,Bodily assault,Bodily assault,Bamingui-Bangoran,0,1,0,8.465411,20.577393,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,21.98633 6.5423298),6.5423298),Bria,Central African Republic,CF,2/27/2019,One national male INGO staff member was assaulted and injured after an INGO project site was raided.,2884,21.98633,POINT(21.98633 6.5423298),6.5423298,Bodily assault,Bodily assault,Haute-Kotto,0,1,0,6.5423298,21.98633,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,19.182319 6.999293),6.999293),Kaga-Bandoro,Central African Republic,CF,2/6/2020,"One security guard at an INGO compound was stabbed when two unknown armed perpetrators broke into the Kaga-Bandoro site at 2:50am LT. A second security guard was hit on the head by the perpetrators, but the extent of his injuries are unknown at this time (not counted here). The staff in the compound were able to reach a 'safe room' and when MINUSCA later responded the unknown perpetrators fled.
",2835,19.182319,POINT(19.182319 6.999293),6.999293,Bodily assault,Bodily assault,Nana-Grebizi,0,1,0,6.999293,19.182319,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,16.983333 7.616667),7.616667),Nana-Markounda,Central African Republic,CF,6/3/2020,"One INGO national male staff member was assaulted by an unknown criminal while staying in a private home during a field visit.
",3182,16.983333,POINT(16.983333 7.616667),7.616667,Bodily assault,Bodily assault,Ouham,0,1,0,7.616667,16.983333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,34.583333 8.25),8.25),Gambella,Ethiopia,ET,5/13/2020,"One INGO male staff member was injured after unknown perpetrators jumped over the organization compound fence and attacked the staff with a knife causing serious damage to his hand.&nbsp;
",3081,34.583333,POINT(34.583333 8.25),8.25,Bodily assault,Bodily assault,Gambella,0,1,0,8.25,34.583333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,-90.535278 14.613333),14.613333),Guatemala City,Guatemala,GT,8/4/2019,"One male INGO guard at an additional parking lot for the INGO in Calle Mariscal, Guatemala City was beat by unknown burglars attempting to steal from the compound. He was treated at a hospital and released after a few days.",2991,-90.535278,POINT(-90.535278 14.613333),14.613333,Bodily assault,Bodily assault,Guatemala City,0,1,0,14.613333,-90.535278,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,96.29 16.69),16.69),Mya Yar Yoe,Myanmar,MM,9/1/2021,"One INGO staff member's throat was cut by an unknown intruder in his home at night. The staff member survived.
",3596,96.29,POINT(96.29 16.69),16.69,Bodily assault,Bodily assault,Yangon,0,1,0,16.69,96.29,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,33.783333 -13.983333),-13.983333),Lilongwe,Malawi,MW,11/4/2019,"One INGO national staff guard was injured after armed perpetrators cut the fence surrounding a residence at 1:50am, handcuffed and beat the guard, but soon fled when the security company was alerted.",2943,33.783333,POINT(33.783333 -13.983333),-13.983333,Bodily assault,Bodily assault,Central,0,1,0,-13.983333,33.783333,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,40.55 -12.966667),-12.966667),Pemba,Mozambique,MZ,2/21/2022,"One INGO guard was injured after unknown armed perpetrators raided the organisation office in Pembe and stole assorted electronics.
",3520,40.55,POINT(40.55 -12.966667),-12.966667,Bodily assault,Bodily assault,Cabo Delgado,0,1,0,-12.966667,40.55,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,33.45 -19.116667),-19.116667),Chimoio,Mozambique,MZ,8/31/2020,"One INGO guard was seriously injured after a failed robbery attempt of the INGO office in Chimoio.
",3223,33.45,POINT(33.45 -19.116667),-19.116667,Bodily assault,Bodily assault,Manica,0,1,0,-19.116667,33.45,1,0,0,0,1,1
Unknown,Unknown,Raid,Raid,26 16),16),Kabkabiya,Sudan,SD,4/3/2008,"1 INGO national staff injured when three armed men entered the compound, punched and kicked a member of staff to force him to hand over valuables and then locked him in his room.",695,26,POINT(26 16),16,Bodily assault,Bodily assault,North Darfur,0,1,0,16,26,1,0,0,0,1,1
